label,top,area_um2,cells,dffs,clock_ns
compute_hbmpim_250,hbmpim_fp16_pcu_16_lane,60175.850000,56433,1578,4.0
int4bf16_pcu32_500,int4bf16_pcu32,36918.672000,32282,1566,2.0
int4bf16_pcu_top_pcu500,int4bf16_pcu_top,72279.648000,63288,3054,2.0
p3llm_pcu_500,p3llm_pcu,71287.202000,61847,2594,2.0
p3llm_pcu_dequant_500,p3llm_pcu_dequant,106359.036000,85646,6794,2.0
rabit_pcu_250,rabit_pcu,45253.516000,37126,2208,4.0
rabit_pcu_500,rabit_pcu,45253.516000,37126,2208,2.0
rabit_pcu_m10_250,rabit_pcu_m10,42096.628000,34727,2192,4.0
rabit_pcu_noshift_250,rabit_pcu_noshift,45776.738000,39352,2200,4.0
rabit_pcu_m10_noshift_250,rabit_pcu_m10_noshift,44348.850000,36390,2184,4.0
rabit_blk_cvt_250,rabit_blk_cvt,5002.130000,4956,0,4.0
rabit_blk_pe_250,rabit_blk_pe,3693.410000,3767,17,4.0
rabit_blk_acc_250,rabit_blk_acc,20871.690000,15694,2048,4.0
rabit_pcu_fs_250,rabit_pcu_fs,93522.408000,79921,4208,4.0
rabit_pcu_fs_500,rabit_pcu_fs,93522.408000,79921,4208,2.0
rabit_pcu_fs_h16_250,rabit_pcu_fs_h16,106276.842000,90704,4463,4.0
rabit_fs_blk_hscale_250,rabit_fs_blk_hscale,20650.910000,17771,773,4.0
rabit_fs_blk_gbuf_250,rabit_fs_blk_gbuf,12484.444000,9055,1093,4.0
rabit_fs_blk_dq_250,rabit_fs_blk_dq,28083.216000,25320,703,4.0
rabit_fs_blk_hscale_500,rabit_fs_blk_hscale,20650.910000,17771,773,2.0
rabit_fs_blk_dq_500,rabit_fs_blk_dq,28083.216000,25320,703,2.0
rabit_pcu_fs_p_250,rabit_pcu_fs_p,94840.970000,79200,4467,4.0
rabit_pcu_fs_p_500,rabit_pcu_fs_p,94840.970000,79200,4467,2.0
spinquant_pcu_500,spinquant_pcu,32375.924000,25843,1960,2.0
spinquant_pcu_250,spinquant_pcu,32375.924000,25843,1960,4.0
spinquant_pcu_acc32_500,spinquant_pcu_acc32,40390.238000,31094,2472,2.0
spinquant_pcu_nolatch_500,spinquant_pcu_nolatch,31123.064000,24896,1704,2.0
spinquant_blk_pe_500,spinquant_blk_pe,1082.088000,943,10,2.0
spinquant_blk_acc_500,spinquant_blk_acc,21170.940000,14634,2048,2.0
spinquant_pcu_r2_500,spinquant_pcu_r2,61828.242000,50434,3656,2.0
spinquant_pcu_r2e2_500,spinquant_pcu_r2e2,46812.542000,39542,2118,2.0
spinquant_pcu_r4_500,spinquant_pcu_r4,124289.564000,100195,7048,2.0
spinquant_pcu_w512_500,spinquant_pcu_w512,64345.400000,51673,3912,2.0
spinquant_pcu_1p0,spinquant_pcu,32375.924000,25843,1960,1.0
spinquant_pcu_0p8,spinquant_pcu,32375.924000,25843,1960,0.8
rabit_pcu_16pe_250,rabit_pcu_16pe,69936.986000,59822,2341,4.0
rabit_pcu_16pe_g4_250,rabit_pcu_16pe_g4,86501.870000,69335,4392,4.0
rabit_pcu_g8_250,rabit_pcu_g8,60711.042000,44654,4259,4.0
rabit_pcu_g8_m10_250,rabit_pcu_g8_m10,56905.646000,42081,4243,4.0
int4bf16_pcu32_acc16_500,int4bf16_pcu32_acc16,36193.822000,31671,1438,2.0
int4bf16_pcu_top_acc16_500,int4bf16_pcu_top_acc16,68569.480000,60168,2798,2.0
p3llm_pcu_acc16_500,p3llm_pcu_acc16,62151.964000,55517,2338,2.0
rabit_pcu_acc16_250,rabit_pcu_acc16,32208.876000,27348,1168,4.0
int4bf16_pcu32_dq_500,int4bf16_pcu32_dq,61701.892000,50346,3597,2.0
int4bf16_pcu_top_dq_500,int4bf16_pcu_top_dq,105060.690000,85639,6336,2.0
