design,MHz,mul,add,MAC/cy,GMAC/s,면적µm²,µm²/MAC,Power W,pJ/MAC
hbm-pim FP16 SIMD,250,16,16,16,4.0,13240,828,0.0972,18.8
awq INT4/FP16 SIMD,500,16,16,16,8.0,11430,714,,
awq INT4/BF16 SIMD,500,16,16,16,8.0,10404,650,,
awq INT4/FP16 SIMD,500,32,32,32,16.0,22073,690,,
awq INT4/BF16 SIMD,500,32,32,32,16.0,21844,683,,
awq INT4/FP16 SIMD,500,64,64,64,32.0,43748,684,,
awq INT4/BF16 SIMD,500,64,64,64,32.0,41704,652,,
awq INT4/FP16 P3-LLM PCU,500,64,16,64,32.0,18160,284,0.0689,1.7
awq INT4/BF16 P3-LLM PCU,500,64,16,64,32.0,15786,247,0.0562,1.4
p3llm FP4/FP8 P3-LLM PCU,500,64,16,64,32.0,15685,245,0.0409,1.0
