paper,precision,organization,operators,freq_mhz,total_mul,total_add,mac_per_cycle,gmac_per_s,compute_area_um2,combinational_um2,sequential_um2,um2_per_mac,um2_per_gmacs,power_w,pj_per_mac,accumulator_bits,cells,dffs,setup_slack_ns,timing_met
hbm-pim,FP16,SIMD bank,16,250,16,16,16,4.0,60175.8,53040.1,7135.7,3761,15044,0.0151,3.78,32,56433,1578,+2.01,yes
awq,INT4/BF16,P3-LLM PCU,32,500,32,8,32,16.0,36918.7,29837.2,7081.5,1154,2307,0.0177,1.11,32,32282,1566,+0.66,yes
awq,INT4/BF16,P3-LLM PCU,64,500,64,16,64,32.0,72279.6,58469.5,13810.2,1129,2259,0.0346,1.08,32,63288,3054,+0.68,yes
p3llm,FP4/FP8,P3-LLM PCU,64,500,64,16,64,32.0,71287.2,59557.1,11730.1,1114,2228,0.0351,1.10,32,61847,2594,+1.06,yes
p3llm,FP4/FP8->FP8,P3-LLM PCU+DQ,64,500,64,16,64,32.0,106359.0,75636.6,30722.5,1662,3324,0.0537,1.68,32,85646,6794,+0.32,yes
rabit,2-bit RB/FP16,RaBiT PCU,128,500,0,8,128,64.0,45253.5,35268.9,9984.6,354,707,0.0222,0.35,32,37126,2208,-0.04,no
spinquant,INT4/INT4,P3-LLM PCU,64,500,64,16,64,32.0,32375.9,23512.8,8863.1,506,1012,0.0167,0.52,32,25843,1960,+0.88,yes
awq,INT4/BF16,P3-LLM PCU,32,500,32,8,32,16.0,36193.8,29691.2,6502.6,1131,2262,0.0174,1.09,16,31671,1438,+0.68,yes
awq,INT4/BF16,P3-LLM PCU,64,500,64,16,64,32.0,68569.5,55916.9,12652.6,1071,2143,0.0328,1.03,16,60168,2798,+0.67,yes
p3llm,FP4/FP8,P3-LLM PCU,64,500,64,16,64,32.0,62152.0,51579.5,10572.4,971,1942,0.0301,0.94,16,55517,2338,+1.03,yes
rabit,2-bit RB/FP16 m10,RaBiT PCU,128,500,0,8,128,64.0,32208.9,26927.2,5281.7,252,503,0.0155,0.24,16,27348,1168,-0.09,no
spinquant,INT4/INT4,P3-LLM PCU,64,500,64,16,64,32.0,25767.4,19219.6,6547.9,403,805,0.0132,0.41,16,20347,1448,+0.87,yes
awq,INT4/BF16->BF16,P3-LLM PCU+DQ,32,500,32,8,32,16.0,61701.9,45436.3,16265.6,1928,3856,0.0307,1.92,32,50346,3597,+0.07,yes
awq,INT4/BF16->BF16,P3-LLM PCU+DQ,64,500,64,16,64,32.0,105060.7,76409.3,28651.4,1642,3283,0.0521,1.63,32,85639,6336,-0.01,no
spinquant,INT4/INT4->FP16,P3-LLM PCU+DQ,64,500,64,16,64,32.0,40270.8,30679.6,9591.2,629,1258,0.0204,0.64,32,31707,2121,+0.17,yes
spinquant,INT4/INT4->INT4,P3-LLM PCU+RQ,64,500,64,16,64,32.0,39996.8,29777.1,10219.7,625,1250,0.0200,0.62,32,32769,2260,+0.15,yes
